id,city,postal_code,property_type,surface_area,bedrooms,bathrooms,build_year,energy_label,epc_score,garden_area,garage,pool,sale_price,sale_date,created_at
24,Antwerp,2018,apartment,94.8,3,2,1967,A,324,0,False,False,376373,2018-11-09,2018-11-09
25,Antwerp,2000,apartment,79.5,2,1,1954,C,255,0,False,False,275253,2021-11-17,2021-11-17
26,Bruges,8200,apartment,80.8,2,2,2000,B,116,0,True,False,266530,2017-04-05,2017-04-05
27,Antwerp,2060,apartment,110.1,3,2,2006,E,110,0,False,False,391311,2022-09-18,2022-09-18
28,Antwerp,2000,house,96.6,3,1,1987,A,457,185,False,False,416922,2023-01-27,2023-01-27
29,Ghent,9000,apartment,86.9,2,2,2009,C,310,0,False,False,286309,2016-04-13,2016-04-13
30,Antwerp,2060,apartment,119.1,3,1,1973,D,367,0,False,False,366279,2022-02-16,2022-02-16
31,Ghent,9000,house,111.3,3,3,1960,A,185,208,True,False,537657,2015-05-18,2015-05-18
32,Antwerp,2060,house,106.8,3,1,1962,B,349,119,True,False,421238,2022-04-24,2022-04-24
33,Bruges,8200,house,71.0,2,2,2008,C,116,208,True,False,257574,2021-05-25,2021-05-25
34,Antwerp,2018,apartment,96.5,3,1,1990,C,315,0,False,False,358234,2019-12-23,2019-12-23
35,Antwerp,2060,house,124.3,4,2,2012,D,359,34,False,False,403116,2015-08-10,2015-08-10
36,Ghent,9030,house,91.9,3,2,1964,C,280,179,False,True,354323,2023-08-17,2023-08-17
37,Antwerp,2018,apartment,80.1,2,1,1964,B,305,0,False,False,290303,2021-07-27,2021-07-27
38,Leuven,3000,apartment,104.6,3,1,2013,C,333,0,False,False,414407,2021-12-04,2021-12-04
39,Ghent,9000,house,66.4,2,1,1957,D,413,153,True,False,246535,2021-12-31,2021-12-31
40,Bruges,8000,apartment,111.4,3,2,1952,C,323,0,False,False,322445,2015-06-13,2015-06-13
41,Leuven,3010,house,128.3,4,3,1993,D,441,199,True,False,590569,2022-09-14,2022-09-14
42,Leuven,3010,apartment,73.6,2,1,1950,B,203,0,False,False,283834,2024-01-10,2024-01-10
43,Bruges,8000,apartment,98.5,3,1,1950,D,432,0,False,False,343630,2023-01-08,2023-01-08
44,Antwerp,2060,house,68.1,2,2,1999,E,497,216,True,False,232707,2020-04-13,2020-04-13
45,Bruges,8000,house,92.3,3,1,2005,C,229,81,True,True,354425,2019-12-18,2019-12-18
46,Ghent,9030,apartment,136.5,4,1,1986,C,140,0,True,False,422646,2015-08-22,2015-08-22
47,Antwerp,2018,apartment,109.4,3,2,1963,C,307,0,False,False,342829,2015-01-11,2015-01-11
48,Leuven,3000,house,63.0,2,1,1980,B,232,175,True,False,285775,2020-05-05,2020-05-05
49,Leuven,3000,apartment,86.9,2,1,1995,C,429,0,False,False,354915,2023-05-01,2023-05-01
50,Antwerp,2018,house,70.5,2,1,1977,A,361,156,True,False,269565,2022-11-29,2022-11-29
51,Antwerp,2018,apartment,127.0,4,1,1996,D,314,0,False,False,443115,2017-08-15,2017-08-15
52,Leuven,3000,house,106.2,3,1,2010,B,90,81,True,False,500355,2021-08-31,2021-08-31
53,Antwerp,2060,apartment,80.3,2,2,1997,C,256,0,True,False,305983,2022-09-14,2022-09-14
54,Leuven,3000,house,92.7,3,2,1964,B,409,79,True,False,404304,2021-08-19,2021-08-19
55,Bruges,8200,house,64.5,2,3,1969,C,204,181,False,False,204494,2019-09-13,2019-09-13
56,Antwerp,2000,apartment,86.9,2,1,2005,B,257,0,False,False,397291,2021-10-30,2021-10-30
57,Ghent,9030,apartment,88.2,3,3,1993,C,457,0,False,False,275606,2017-01-21,2017-01-21
58,Ghent,9030,apartment,123.1,4,2,1960,D,343,0,False,False,449154,2019-06-24,2019-06-24
59,Ghent,9000,house,94.7,3,3,1989,C,100,48,True,False,430263,2024-06-08,2024-06-08
60,Bruges,8200,apartment,87.0,2,1,2014,D,108,0,False,False,256439,2023-01-15,2023-01-15
61,Ghent,9030,apartment,124.6,4,1,1970,D,432,0,False,False,447503,2023-05-06,2023-05-06
62,Leuven,3000,house,83.1,2,1,1990,C,202,226,True,False,322352,2019-09-11,2019-09-11
63,Ghent,9000,house,75.2,2,3,1995,C,251,26,True,False,302751,2018-02-04,2018-02-04
64,Antwerp,2018,house,74.3,2,2,2015,B,352,76,True,False,252071,2018-04-23,2018-04-23
65,Antwerp,2000,apartment,47.6,1,3,2008,E,139,0,False,False,180058,2022-01-12,2022-01-12
66,Ghent,9000,apartment,83.2,2,1,2021,B,90,0,True,False,320991,2020-06-29,2020-06-29
67,Antwerp,2060,house,72.6,2,1,1962,E,487,242,False,True,214910,2017-09-18,2017-09-18
68,Bruges,8200,apartment,89.1,3,1,1972,B,375,0,False,False,292790,2019-06-27,2019-06-27
69,Bruges,8200,apartment,49.7,1,1,2010,B,194,0,False,False,146084,2016-03-12,2016-03-12
70,Leuven,3010,apartment,57.7,2,2,1965,E,217,0,False,False,184714,2023-04-07,2023-04-07
71,Antwerp,2060,house,140.8,4,1,1968,C,268,95,False,False,513029,2023-12-20,2023-12-20
72,Leuven,3010,house,129.3,4,1,1978,E,473,65,False,False,428872,2024-08-25,2024-08-25
73,Antwerp,2018,apartment,72.5,2,3,1961,C,160,0,False,False,255914,2017-07-12,2017-07-12
74,Bruges,8200,apartment,99.8,3,2,1957,E,401,0,False,False,275060,2018-12-15,2018-12-15
75,Leuven,3000,apartment,55.0,2,1,1994,B,394,0,True,False,207330,2016-02-13,2016-02-13
76,Leuven,3010,apartment,107.4,3,1,1981,C,221,0,False,False,348896,2018-11-23,2018-11-23
77,Antwerp,2018,house,117.3,3,2,1984,C,280,100,True,True,567569,2021-06-28,2021-06-28
78,Leuven,3000,house,132.2,4,1,1974,E,305,190,True,False,620034,2021-11-10,2021-11-10
79,Ghent,9000,apartment,126.8,4,1,1995,E,385,0,True,False,514319,2021-03-30,2021-03-30
80,Antwerp,2060,apartment,96.9,3,1,1993,D,215,0,False,False,249158,2016-06-04,2016-06-04
81,Antwerp,2018,apartment,93.6,3,1,2002,C,202,0,True,False,313581,2015-02-18,2015-02-18
82,Bruges,8000,apartment,60.7,2,1,1978,C,140,0,False,False,217221,2020-04-24,2020-04-24
83,Leuven,3000,apartment,74.7,2,2,1989,B,379,0,False,False,309841,2016-02-28,2016-02-28
84,Antwerp,2060,apartment,87.0,2,1,1980,B,287,0,False,False,251470,2018-07-05,2018-07-05
85,Bruges,8000,apartment,62.5,2,3,2008,A,110,0,False,False,239244,2021-03-02,2021-03-02
86,Bruges,8200,apartment,65.1,2,2,2022,B,338,0,True,False,265567,2024-10-27,2024-10-27
87,Antwerp,2000,apartment,90.1,3,1,1952,E,368,0,True,False,311959,2016-05-22,2016-05-22
88,Ghent,9030,house,79.5,2,2,1999,E,151,183,True,False,241985,2016-06-02,2016-06-02
89,Ghent,9030,apartment,88.7,3,1,1951,B,475,0,False,False,260945,2015-10-27,2015-10-27
90,Ghent,9030,house,172.0,5,2,1959,D,220,209,True,False,695659,2021-12-06,2021-12-06
91,Leuven,3010,apartment,82.8,2,1,1980,D,367,0,True,False,238235,2017-09-06,2017-09-06
92,Antwerp,2060,apartment,100.2,3,1,2019,C,105,0,False,False,276391,2015-04-27,2015-04-27
93,Bruges,8000,apartment,94.9,3,1,1985,C,314,0,False,False,308441,2024-03-10,2024-03-10
94,Leuven,3000,apartment,121.7,3,2,2012,C,391,0,False,False,401712,2015-08-29,2015-08-29
95,Antwerp,2000,apartment,109.1,3,3,1966,B,137,0,False,False,489533,2020-01-10,2020-01-10
96,Ghent,9030,apartment,98.6,3,3,2000,B,175,0,True,False,429027,2025-01-01,2025-01-01
97,Bruges,8200,apartment,100.2,3,1,1962,B,261,0,False,False,319834,2022-03-20,2022-03-20
98,Leuven,3010,apartment,69.9,2,1,1983,D,245,0,False,False,250731,2022-01-01,2022-01-01
99,Bruges,8000,apartment,114.1,3,3,1950,B,466,0,False,False,425587,2020-12-02,2020-12-02
100,Ghent,9000,apartment,96.2,3,1,2008,C,418,0,False,False,329803,2016-12-25,2016-12-25
101,Bruges,8200,apartment,69.7,2,2,2003,A,448,0,True,False,252831,2016-02-13,2016-02-13
102,Antwerp,2018,house,79.9,2,1,1999,D,400,75,False,False,289898,2018-04-09,2018-04-09
103,Leuven,3010,apartment,111.7,3,3,1962,A,446,0,False,False,419565,2016-06-01,2016-06-01
104,Ghent,9000,house,114.1,3,1,1950,B,289,171,False,False,421058,2022-09-15,2022-09-15
105,Antwerp,2000,house,104.0,3,1,1951,C,326,261,False,False,364934,2015-09-30,2015-09-30
106,Antwerp,2060,apartment,145.0,4,1,2013,D,102,0,False,False,447580,2022-01-16,2022-01-16
107,Antwerp,2018,apartment,100.9,3,1,2010,C,470,0,True,False,423609,2024-04-08,2024-04-08
108,Ghent,9030,house,73.0,2,2,2001,C,414,161,False,False,254096,2018-12-04,2018-12-04
109,Antwerp,2018,apartment,113.0,3,2,1973,C,133,0,False,False,416910,2021-07-28,2021-07-28
110,Leuven,3010,house,115.7,3,2,1963,C,289,124,True,False,593478,2023-07-27,2023-07-27
111,Bruges,8000,apartment,128.3,4,1,1950,B,268,0,True,False,601834,2024-06-19,2024-06-19
112,Leuven,3000,apartment,99.3,3,1,2005,E,457,0,True,False,397431,2021-09-24,2021-09-24
113,Leuven,3010,apartment,156.1,4,2,2018,C,218,0,True,False,590190,2017-10-04,2017-10-04
114,Leuven,3000,house,125.1,4,1,1955,A,475,173,True,True,673087,2022-02-06,2022-02-06
115,Antwerp,2000,apartment,83.2,2,2,1975,A,182,0,False,False,356121,2022-07-17,2022-07-17
116,Antwerp,2018,apartment,122.4,3,2,2004,B,492,0,False,False,486315,2020-03-30,2020-03-30
117,Antwerp,2060,apartment,79.2,2,1,1993,B,318,0,False,False,227563,2015-02-12,2015-02-12
118,Antwerp,2018,apartment,110.7,3,1,2009,E,349,0,False,False,375769,2021-10-08,2021-10-08
119,Leuven,3010,apartment,56.8,2,2,2004,E,425,0,False,False,219270,2023-02-24,2023-02-24
120,Bruges,8200,apartment,123.2,4,2,1973,C,405,0,False,False,454015,2019-01-14,2019-01-14
121,Antwerp,2000,house,54.3,2,2,1985,B,294,35,True,False,201872,2017-06-19,2017-06-19
122,Leuven,3000,house,83.8,2,1,2005,A,246,0,True,False,339720,2015-02-25,2015-02-25
123,Antwerp,2000,apartment,40.0,1,1,2019,C,336,0,False,False,141796,2022-05-17,2022-05-17
124,Ghent,9000,apartment,77.1,2,1,1957,B,497,0,True,False,249712,2016-04-29,2016-04-29
125,Bruges,8200,apartment,138.8,4,2,1987,D,396,0,False,False,432241,2016-02-21,2016-02-21
126,Leuven,3000,apartment,40.6,1,1,2002,C,124,0,False,False,145158,2018-07-18,2018-07-18
127,Antwerp,2000,house,48.0,1,2,1972,B,393,100,False,False,169931,2015-04-26,2015-04-26
128,Bruges,8200,house,136.2,4,2,1972,C,462,39,True,True,506952,2015-02-10,2015-02-10
129,Antwerp,2000,house,114.2,3,2,1979,D,284,229,False,False,448661,2016-10-26,2016-10-26
130,Leuven,3010,apartment,83.5,2,2,1999,D,369,0,True,False,324956,2021-11-14,2021-11-14
131,Antwerp,2060,house,118.7,3,1,1963,E,470,91,False,False,351360,2016-08-05,2016-08-05
132,Bruges,8000,house,122.6,4,1,2008,C,131,256,True,False,503315,2021-04-19,2021-04-19
133,Bruges,8200,apartment,70.0,2,1,1962,C,242,0,True,False,233533,2019-03-21,2019-03-21
134,Antwerp,2000,apartment,99.9,3,3,2005,A,364,0,False,False,436830,2022-05-04,2022-05-04
135,Ghent,9000,apartment,81.0,2,3,1986,A,435,0,False,False,364562,2023-07-18,2023-07-18
136,Bruges,8000,house,135.5,4,1,2020,C,469,245,True,False,626211,2023-12-15,2023-12-15
137,Antwerp,2018,apartment,82.6,2,1,1990,B,320,0,False,False,319282,2024-09-25,2024-09-25
138,Leuven,3000,apartment,76.1,2,2,1985,D,483,0,False,False,263109,2016-10-11,2016-10-11
139,Antwerp,2018,apartment,105.8,3,3,2018,C,279,0,False,False,383469,2017-08-12,2017-08-12
140,Bruges,8200,apartment,99.5,3,2,2020,C,151,0,True,False,345865,2021-11-18,2021-11-18
141,Ghent,9030,house,100.8,3,1,1968,B,371,91,True,False,338727,2015-02-03,2015-02-03
142,Antwerp,2018,apartment,79.3,2,1,1976,D,492,0,False,False,278632,2019-05-16,2019-05-16
143,Antwerp,2060,house,110.5,3,1,1984,B,422,0,False,False,348116,2015-08-15,2015-08-15
144,Leuven,3010,apartment,120.3,3,2,2021,C,143,0,False,False,495905,2023-07-17,2023-07-17
145,Ghent,9030,house,110.5,3,3,2010,C,483,228,True,False,431352,2017-12-19,2017-12-19
146,Leuven,3010,apartment,63.7,2,3,1975,A,376,0,False,False,262627,2015-05-29,2015-05-29
147,Antwerp,2018,apartment,90.1,3,2,1957,C,413,0,False,False,319813,2021-02-27,2021-02-27
148,Antwerp,2018,house,118.5,3,1,1999,C,479,78,True,False,543788,2024-10-26,2024-10-26
149,Antwerp,2018,apartment,93.7,3,1,1974,D,394,0,True,False,362554,2023-10-05,2023-10-05
150,Antwerp,2060,house,46.8,1,1,1959,D,198,0,False,False,144830,2021-10-14,2021-10-14
151,Bruges,8200,apartment,84.1,2,1,1967,A,373,0,True,False,241706,2017-02-12,2017-02-12
152,Bruges,8200,apartment,159.9,5,2,1989,E,233,0,False,False,518832,2023-01-19,2023-01-19
153,Antwerp,2000,apartment,134.5,4,3,1981,A,389,0,False,False,534853,2015-04-15,2015-04-15
154,Antwerp,2000,apartment,106.4,3,2,2017,A,338,0,True,False,506344,2021-02-27,2021-02-27
155,Bruges,8000,house,46.7,1,2,1969,B,98,23,False,False,150849,2017-05-14,2017-05-14
156,Antwerp,2060,house,74.4,2,3,1960,C,418,112,True,False,306165,2022-03-18,2022-03-18
157,Leuven,3010,apartment,91.8,3,1,1951,B,302,0,False,False,332234,2021-12-24,2021-12-24
158,Leuven,3000,apartment,130.5,4,3,2003,E,435,0,False,False,500069,2019-10-10,2019-10-10
159,Antwerp,2000,apartment,129.5,4,1,2016,C,180,0,False,False,570547,2024-02-04,2024-02-04
160,Antwerp,2060,apartment,85.9,2,2,2015,C,398,0,True,False,274578,2015-11-23,2015-11-23
161,Ghent,9030,house,93.3,3,1,1991,C,437,104,True,False,306484,2020-07-24,2020-07-24
162,Antwerp,2000,house,76.7,2,1,1965,C,494,192,True,False,279025,2015-07-28,2015-07-28
163,Ghent,9000,apartment,105.2,3,1,1959,D,345,0,True,False,390592,2019-07-09,2019-07-09
164,Antwerp,2000,apartment,83.4,2,2,1997,C,104,0,False,False,264205,2015-12-15,2015-12-15
165,Bruges,8000,apartment,78.8,2,1,2001,E,192,0,False,False,254056,2022-08-19,2022-08-19
166,Leuven,3000,house,100.7,3,1,2019,D,467,107,False,False,380704,2017-08-15,2017-08-15
167,Antwerp,2018,apartment,96.2,3,1,2022,C,357,0,False,False,316567,2018-11-01,2018-11-01
168,Antwerp,2060,house,100.5,3,1,1953,C,88,91,True,False,353847,2015-02-20,2015-02-20
169,Bruges,8200,house,108.0,3,2,1970,B,384,70,False,True,357890,2019-09-07,2019-09-07
170,Ghent,9030,apartment,119.1,3,1,1967,D,264,0,False,False,348550,2020-11-15,2020-11-15
171,Ghent,9000,apartment,142.8,4,2,2002,D,434,0,True,False,622608,2020-04-03,2020-04-03
172,Ghent,9030,house,93.4,3,1,2016,B,216,174,True,False,339098,2019-05-01,2019-05-01
173,Antwerp,2018,apartment,81.4,2,1,2010,D,317,0,True,False,278660,2018-08-06,2018-08-06
174,Antwerp,2018,apartment,48.8,1,1,1994,D,287,0,True,False,167748,2024-10-23,2024-10-23
175,Antwerp,2018,apartment,96.9,3,2,1963,C,187,0,False,False,352046,2020-02-25,2020-02-25
176,Antwerp,2018,apartment,84.5,2,2,1989,D,251,0,False,False,297865,2023-04-06,2023-04-06
177,Ghent,9000,house,111.1,3,2,1972,A,489,226,False,False,501619,2021-06-23,2021-06-23
178,Ghent,9000,apartment,131.0,4,1,1952,C,427,0,True,False,419445,2015-11-07,2015-11-07
179,Bruges,8000,apartment,102.9,3,3,1996,C,448,0,True,False,353458,2016-07-13,2016-07-13
180,Antwerp,2018,apartment,119.9,3,2,1994,A,95,0,False,False,535829,2019-09-03,2019-09-03
181,Ghent,9030,apartment,82.6,2,2,2003,D,373,0,False,False,279659,2024-09-09,2024-09-09
182,Leuven,3010,house,106.7,3,1,1961,B,359,312,False,False,382846,2016-07-28,2016-07-28
183,Leuven,3000,apartment,100.2,3,1,1962,D,362,0,True,False,342227,2020-07-18,2020-07-18
184,Ghent,9030,house,60.4,2,3,1989,C,365,31,True,False,193048,2016-02-12,2016-02-12
185,Leuven,3000,apartment,83.9,2,1,1967,A,259,0,False,False,354162,2018-06-22,2018-06-22
186,Antwerp,2060,apartment,129.6,4,1,2000,D,265,0,False,False,436014,2019-10-01,2019-10-01
187,Ghent,9000,apartment,110.9,3,1,1973,C,338,0,False,False,454179,2020-06-06,2020-06-06
188,Antwerp,2018,house,124.3,4,1,2001,A,178,102,False,False,489978,2020-12-02,2020-12-02
189,Ghent,9030,house,154.2,4,1,1961,E,169,86,True,False,571714,2022-09-06,2022-09-06
190,Antwerp,2060,apartment,123.2,4,1,2014,A,253,0,False,False,445789,2018-02-24,2018-02-24
191,Leuven,3010,apartment,45.1,1,2,1969,B,141,0,False,False,160468,2021-07-29,2021-07-29
192,Bruges,8000,house,53.3,2,1,1963,D,87,0,True,False,147337,2015-07-29,2015-07-29
193,Antwerp,2000,apartment,100.6,3,2,1964,A,468,0,False,False,464090,2021-03-25,2021-03-25
194,Antwerp,2018,apartment,127.9,4,1,1998,E,424,0,True,False,482847,2022-03-22,2022-03-22
195,Ghent,9030,apartment,78.2,2,2,1975,D,494,0,True,False,212085,2019-10-28,2019-10-28
196,Leuven,3010,house,103.1,3,2,1989,C,81,96,True,False,428897,2016-08-06,2016-08-06
197,Leuven,3000,house,140.1,4,3,1990,C,398,50,False,True,640457,2021-03-25,2021-03-25
198,Ghent,9030,apartment,54.5,2,1,1955,D,482,0,False,False,162200,2017-06-02,2017-06-02
199,Leuven,3000,apartment,143.8,4,1,1982,C,487,0,True,False,518992,2015-07-24,2015-07-24
200,Antwerp,2000,apartment,74.0,2,2,1981,B,190,0,False,False,306830,2021-03-21,2021-03-21
201,Leuven,3000,apartment,132.4,4,2,2007,C,339,0,False,False,525658,2017-04-15,2017-04-15
202,Antwerp,2060,apartment,82.1,2,3,1960,A,343,0,False,False,294318,2018-11-19,2018-11-19
203,Bruges,8000,house,113.3,3,2,2004,A,194,113,True,False,426807,2015-06-13,2015-06-13
204,Leuven,3010,house,40.0,1,3,2017,E,306,193,True,False,138326,2016-12-30,2016-12-30
205,Leuven,3010,apartment,73.2,2,3,2001,B,330,0,False,False,276682,2018-12-25,2018-12-25
206,Ghent,9030,apartment,101.9,3,3,2018,D,383,0,True,False,335414,2019-04-22,2019-04-22
207,Ghent,9030,house,94.2,3,1,2000,D,370,280,False,False,298411,2018-10-11,2018-10-11
208,Ghent,9000,house,88.5,3,1,1953,B,257,32,True,True,462763,2024-04-10,2024-04-10
209,Antwerp,2000,house,93.4,3,2,1960,D,165,146,True,False,428859,2024-06-05,2024-06-05
210,Ghent,9030,apartment,119.1,3,3,1983,C,128,0,False,False,422816,2022-02-13,2022-02-13
211,Antwerp,2060,house,113.8,3,1,1973,A,318,106,True,False,416469,2016-11-24,2016-11-24
212,Leuven,3000,apartment,72.9,2,1,2017,C,250,0,False,False,295734,2020-01-09,2020-01-09
213,Bruges,8000,apartment,96.0,3,3,2017,C,314,0,False,False,353460,2020-10-09,2020-10-09
214,Antwerp,2060,apartment,110.6,3,1,1996,C,463,0,True,False,347713,2016-03-09,2016-03-09
215,Leuven,3000,apartment,60.3,2,2,1961,B,338,0,False,False,195716,2015-02-11,2015-02-11
216,Leuven,3000,apartment,135.6,4,2,1965,E,311,0,True,False,599744,2023-07-12,2023-07-12
217,Bruges,8000,apartment,88.7,3,1,1987,B,360,0,True,False,336313,2020-06-27,2020-06-27
218,Bruges,8200,apartment,83.3,2,2,1993,B,285,0,True,False,254152,2017-08-26,2017-08-26
219,Leuven,3010,apartment,99.5,3,1,1977,C,215,0,False,False,378403,2020-03-06,2020-03-06
220,Ghent,9000,apartment,70.4,2,1,1972,A,138,0,False,False,267544,2021-09-04,2021-09-04
221,Ghent,9030,house,80.5,2,1,1996,C,114,48,True,False,304472,2022-07-04,2022-07-04
222,Ghent,9030,apartment,93.1,3,2,1965,C,407,0,False,False,323871,2019-09-22,2019-09-22
223,Ghent,9030,house,104.6,3,1,1984,D,438,35,True,False,378248,2023-10-01,2023-10-01
224,Leuven,3000,house,54.5,2,2,1954,B,420,150,False,False,229166,2020-04-09,2020-04-09
225,Antwerp,2060,apartment,102.0,3,1,1962,C,416,0,True,False,353325,2019-05-15,2019-05-15
226,Leuven,3010,apartment,86.0,2,2,2015,A,194,0,True,False,387424,2022-05-24,2022-05-24
227,Antwerp,2018,apartment,135.6,4,1,2008,B,245,0,False,False,546422,2021-06-18,2021-06-18
228,Antwerp,2000,house,56.3,2,1,1956,C,400,198,False,False,253967,2024-08-19,2024-08-19
229,Ghent,9030,apartment,109.2,3,2,1960,A,82,0,True,False,461002,2021-07-25,2021-07-25
230,Bruges,8000,house,80.5,2,1,2000,B,206,38,True,False,313151,2021-05-10,2021-05-10
231,Antwerp,2060,apartment,119.1,3,2,2003,B,272,0,False,False,424730,2023-11-05,2023-11-05
232,Leuven,3010,apartment,113.3,3,3,2006,C,305,0,False,False,425404,2017-10-04,2017-10-04
233,Ghent,9000,house,143.7,4,3,1995,B,233,54,False,False,644136,2019-12-28,2019-12-28
234,Bruges,8200,house,86.8,2,3,1990,C,266,24,False,False,325130,2023-11-09,2023-11-09
235,Antwerp,2018,house,110.2,3,2,1955,A,354,189,True,False,543475,2022-02-04,2022-02-04
236,Antwerp,2000,apartment,115.3,3,1,1954,C,97,0,False,False,395622,2018-06-27,2018-06-27
237,Antwerp,2018,apartment,77.9,2,1,1996,A,404,0,False,False,258233,2019-06-20,2019-06-20
238,Bruges,8200,apartment,73.8,2,1,2001,C,224,0,False,False,186450,2018-12-18,2018-12-18
239,Bruges,8000,house,101.3,3,2,1969,B,91,119,True,False,438718,2016-10-21,2016-10-21
240,Antwerp,2000,house,112.0,3,1,1967,D,205,165,True,True,461112,2016-12-20,2016-12-20
241,Ghent,9030,apartment,108.4,3,1,1953,E,268,0,False,False,298092,2020-06-23,2020-06-23
242,Antwerp,2000,house,76.9,2,1,1953,E,431,330,True,False,290057,2022-10-20,2022-10-20
243,Ghent,9030,apartment,108.2,3,1,2008,D,263,0,False,False,356140,2024-11-12,2024-11-12
244,Leuven,3010,apartment,68.7,2,2,1981,A,192,0,False,False,290490,2024-04-22,2024-04-22
245,Bruges,8200,house,70.8,2,2,2010,C,288,142,True,False,229503,2019-08-08,2019-08-08
246,Antwerp,2060,house,89.7,3,1,1981,C,146,239,False,False,271863,2015-04-26,2015-04-26
247,Antwerp,2000,apartment,51.5,1,2,1959,A,491,0,True,False,191705,2015-05-10,2015-05-10
248,Ghent,9030,apartment,79.3,2,2,1957,C,270,0,True,False,248251,2019-08-29,2019-08-29
249,Bruges,8000,apartment,77.5,2,2,1993,C,316,0,False,False,265232,2024-10-25,2024-10-25
250,Antwerp,2018,apartment,89.4,3,2,1964,C,352,0,True,False,330925,2017-04-29,2017-04-29
251,Leuven,3000,apartment,92.5,3,3,1992,C,300,0,True,False,472194,2024-01-03,2024-01-03
252,Leuven,3010,apartment,75.1,2,2,1968,B,187,0,True,False,248957,2016-02-27,2016-02-27
253,Antwerp,2000,apartment,94.2,3,2,2021,D,470,0,True,False,362065,2022-09-29,2022-09-29
254,Bruges,8200,apartment,94.0,3,2,1980,C,281,0,False,False,339698,2023-10-04,2023-10-04
255,Leuven,3000,apartment,103.0,3,1,2011,D,276,0,False,False,325816,2015-10-08,2015-10-08
256,Leuven,3000,house,121.0,3,2,1971,A,91,146,True,False,647619,2024-07-12,2024-07-12
257,Bruges,8000,house,40.0,1,3,1950,C,276,112,True,True,138010,2015-01-16,2015-01-16
258,Antwerp,2060,house,96.6,3,1,2001,C,89,183,False,True,357619,2016-10-19,2016-10-19
259,Bruges,8200,apartment,40.0,1,3,2009,E,445,0,False,False,114934,2020-08-01,2020-08-01
260,Antwerp,2060,house,79.7,2,1,1974,A,135,215,True,False,304230,2017-05-16,2017-05-16
261,Leuven,3000,apartment,76.1,2,1,1952,C,279,0,True,False,249993,2015-11-18,2015-11-18
262,Bruges,8200,apartment,73.0,2,1,1966,C,481,0,True,False,222077,2016-12-15,2016-12-15
263,Bruges,8200,house,140.0,4,2,1973,B,104,53,True,False,564379,2022-10-27,2022-10-27
264,Leuven,3010,apartment,82.2,2,2,1977,A,454,0,True,False,329325,2022-11-09,2022-11-09
265,Bruges,8000,house,61.5,2,3,1974,D,228,193,False,False,250954,2022-09-11,2022-09-11
266,Antwerp,2060,apartment,74.7,2,3,1993,D,154,0,False,False,212167,2016-06-08,2016-06-08
267,Antwerp,2000,apartment,107.6,3,1,1956,B,166,0,False,False,369261,2016-11-13,2016-11-13
268,Bruges,8200,house,102.9,3,2,1976,D,470,122,False,False,317008,2021-06-03,2021-06-03
